First Name,Last Name,Email,Job Title,Seniorities,Departments,Company Name,Company Domain,Country,LinkedIn URL
Ranjith,Kumar Narayanappa,,Director Marketing Technology,Director; C-Level,Management; R&D; Marketing and Advertising,Priceline.com Llc.,priceline.com,us,https://www.linkedin.com/in/ranjith-kumar-narayanappa-2b0a4722
Iñaki,Susilla,,Director Comercial & Marketing,C-Level,Marketing and Advertising; Management,Princess Hotels & Resorts,princess-hotels.com,es,https://www.linkedin.com/in/iñaki-susilla-239aab6
Justyna,Michalczyk,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Profitroom Sp. Z O.o.,profitroom.com,pl,https://www.linkedin.com/in/justyna-michalczyk-1a47a2b
Manuela,Schwingshackl,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Pulse Hotels &a; Resorts,pulseresorts.com,ch,https://www.linkedin.com/in/manuela-schwingshackl-a8614733
Craig,Snelgrove,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Purehd, Inc.",purehd.com,us,https://www.linkedin.com/in/craigsnelgrove
indudhara,A,,CMO & Co-Founder,Founder; C-Level,Founder/Owner; Management; Marketing and Advertising,Qexperiences,qexperiences.in,in,https://www.linkedin.com/in/indudhara
Gabriela,R.,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,R2 Hotels,r2hotels.com,es,https://www.linkedin.com/in/gabriela-ramos-medina
Claudia,Kozma Kaplan,,Chief Brand Officer,C-Level,Management; Marketing and Advertising,Raffles Hotels & Resorts,raffles.com,us,https://www.linkedin.com/in/claudia-kozma-kaplan-3bb8776
Ankita,Satnaliwala Mittal,,CMO,C-Level,Management; Marketing and Advertising,Ramada Gurgaon Central,ramadagurgaoncentral.com,in,https://www.linkedin.com/in/ankita-satnaliwala-mittal-51b05018
Atila,Haidar Kalkan,,Entertainement Chief,C-Level,Management; Marketing and Advertising,Ramada Resort Lara,ramadaresortlara.com,tr,https://www.linkedin.com/in/atila-haidar-kalkan-b13796170
Gloriann,Kueter,,Chief Sales and Marketing Officer,C-Level,Sales; Management; Marketing and Advertising,"Regency Hotel Management, Inc.",regency-mgmt.com,us,https://www.linkedin.com/in/gloriann-kueter-8337493
Ronn,Nicolli,,CMO,C-Level,Management; Marketing and Advertising,"Resorts World Las Vegas, Llc",rwlasvegas.com,us,https://www.linkedin.com/in/ronn-nicolli-a0a817194
Hannah,Kelly,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Servy, Inc.",resy.com,us,https://www.linkedin.com/in/hannah-e-kelly
Thomas,Landen,,Chief Marketing Officer (genie :),C-Level,Management; Marketing and Advertising,Roompricegenie Ag,roompricegenie.com,nl,https://www.linkedin.com/in/tlanden
Karen,Stephens,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Revinate, Inc.",revinate.com,us,https://www.linkedin.com/in/karenstephensrevinate
Mia,"Frothingham, MScR",,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Revoptimum, Revenue Management Company",revoptimum.com,gb,https://www.linkedin.com/in/mia-frothingham
Ersin,Sifa,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,River Rock Hotels & Resorts,riverrockhotels.com,tr,https://www.linkedin.com/in/ersin-sifa-06515a3
MURAT,B.,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,River Rock Hotels & Resorts,riverrockhotels.com,tr,https://www.linkedin.com/in/murat-b-8a578638
Nina,Knezevic,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Room Mate, S.a.",room-matehotels.com,es,https://www.linkedin.com/in/ninamarketing
Manvi,Sharma,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,The Royal Woods,saffronstays.com,in,https://www.linkedin.com/in/manviguptasharma
Jessica,Werner,,Chief Creative Officer,C-Level,Management; Marketing and Advertising,Sage Hospitality Group,sagehospitalitygroup.com,us,https://www.linkedin.com/in/jessica-werner-7a760910
Tracey,Anne Slavonia,,Chief Sales & Marketing Officer,C-Level,Sales; Management; Marketing and Advertising,Salamander Hotels And Resorts,salamanderhotels.com,us,https://www.linkedin.com/in/traceyslavonia
Kevin,Oshea,,Chief Creative Officer,C-Level,Management; Marketing and Advertising,Salt House Inn,salthotels.com,us,https://www.linkedin.com/in/kevinosheadesigns
Tiffany,Tanaka,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Sbe Restaurant Group, Llc.",sbe.com,us,https://www.linkedin.com/in/tiffany-tanaka-980084182
Anne,Fischer,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Schulte Hospitality Group, Inc.",schultehospitality.com,us,https://www.linkedin.com/in/annenfischer
Syed,Fahim Inaam,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Serena Hotels,serenahotels.com,pk,https://www.linkedin.com/in/syed-fahim-inaam-ba372861
Erica,Campbell,,CMO,C-Level,Management; Marketing and Advertising,Seven & Up,sevennup.com,us,https://www.linkedin.com/in/erica-campbell-633311258
Vu,K.,,Chief Marketing Officer / Chief Growth Officer,C-Level,Management; Marketing and Advertising,Silverland Hotels &a; Spas,silverlandhotels.com,vn,https://www.linkedin.com/in/vukieulinh
David,Soto Rodríguez,,Socio fundador y responsable de comunicación y marketing digital,Founder; Partner,Founder/Owner; Marketing and Advertising,Socialtur: Marketing Y Turismo,socialtur.com,es,https://www.linkedin.com/in/david-soto-rodríguez-76161388
Xavi,Gimeno Ronda,,CMO/CCO,C-Level,Management; Marketing and Advertising,Hotel Soho Boutique,sohohoteles.com,es,https://www.linkedin.com/in/xavi-gimeno-ronda-293b1739
Robert,Squillacioti,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Solotel,solotel.com.au,au,https://www.linkedin.com/in/robsquillacioti
Pamela,Cruse,,Co-Founder and CMO- Soul Community Planet,Founder,Founder/Owner; Marketing and Advertising,"Soul Community Planet, Inc.",scphotel.com,us,https://www.linkedin.com/in/pamela-cruse-a74761b4
Husanpreet,K.,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Spectra Hospitality Services | Leading Hotel Consultants,spectrahospitality.com,in,https://www.linkedin.com/in/husankandol
Mai,Vejjajiva Timblick,,Chief Creative Officer- Standard International,C-Level,Management; Marketing and Advertising,The Standard Hotels,standardhotels.com,gb,https://www.linkedin.com/in/mai-vejjajiva-timblick-b4a64b1a0
Simon,Breckon,,CMO,C-Level,Management; Marketing and Advertising,Generator Hostels Ltd.,staygenerator.com,gb,https://www.linkedin.com/in/simon-breckon-9b966b166
Jennifer,Kearney,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Stayapt Suites,stayapt.com,us,https://www.linkedin.com/in/jennifer-kearney-0246a499
Fabien,H.,,CMO,C-Level,Management; Marketing and Advertising,Stayforlong Sl,stayforlong.com,es,https://www.linkedin.com/in/fabien-hussy
Erik,Nissen Johansen,,"Owner, Founder and Creative Director",Founder; Director,Founder/Owner; Marketing and Advertising,Stylt Trampoli Ab,stylt.se,se,https://www.linkedin.com/in/ejohansen1
Cristina,Borges de Carvalho,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Sublime Comporta Country House Retreat,sublimecomporta.pt,es,https://www.linkedin.com/in/cristinaborges1
martin,arnaud,,chief marketing officer,C-Level,Management; Marketing and Advertising,Sunlife Mauritius,sunresortshotels.com,mu,https://www.linkedin.com/in/martin-arnaud-52546b92
Ramesh,Jeenarain,,Chief Sales and Marketing Officer,C-Level,Sales; Management; Marketing and Advertising,Sunlife Mauritius,sunresortshotels.com,mu,https://www.linkedin.com/in/ramesh-jeenarain-a06247a1
Sarah,Birkett,,"Co-Founder, Chief Creative Officer",Founder; C-Level,Founder/Owner; Marketing and Advertising,Sussurro,sussurro.co,za,https://www.linkedin.com/in/sarah-birkett-4a2561200
Diane,Rebstein,,Chief Sales Marketing Officer,C-Level,Management; Sales; Marketing and Advertising,Swisspeak Resorts,swisspeakresorts.com,ch,https://www.linkedin.com/in/diane-rebstein-675324b7
Lizzy,Johnson,,Chief Marketing Officer (Interim),C-Level,Management; Marketing and Advertising,Tashas Group,tashasgroup.com,ae,https://www.linkedin.com/in/lizzyjohnson
Nino,Vidovic,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Terme Maribor D.o.o.,terme-maribor.si,si,https://www.linkedin.com/in/nino-vidovic-a24764137
Amit,Kumar,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Tgi Hotels And Resorts,tgihotels.com,in,https://www.linkedin.com/in/amit-kumar-6379098
Charlotte,Rose Melsom,,Founding Partner & Creative Director,Founder,Founder/Owner; Marketing and Advertising,The Beach Samui,thebeach-samui.com,gb,https://www.linkedin.com/in/charlotterosemelsom
Pier,Consani,,Director of Sales & Marketing and Co-founder,Founder; Director,Founder/Owner; Sales; Marketing and Advertising,Postresidenz Am See,postresidenzamsee.ch,ch,https://www.linkedin.com/in/pierconsani
Roman,Kuzmenko,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Сеть Отелей ""черное Море""",blacksea-hotels.com,ua,https://www.linkedin.com/in/roman-kuzmenko-036441144
Iryna,Zavyalych,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Bankhotel Lviv,bankhotel.com.ua,ua,https://www.linkedin.com/in/iryna-zavyalych-a5a6321a5
Philip,Koserowski,,Senior Vice President & Chief Marketing Officer at The Leading Hotels of the World,VP; C-Level,Management; Marketing and Advertising,"The Leading Hotels Of The World, Ltd.",lhw.com,us,https://www.linkedin.com/in/philkoserowski
Lior,Berneman-Zvulun,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Astral Hotels,astralhotels.co.il,il,https://www.linkedin.com/in/lior-berneman-zvulun-98957854
Anna,Herms,,Miembro fundador y Responsable de Marketing y Comunicación,Founder; Manager,Founder/Owner; PR and Communications; Marketing and Advertising,Intríngulis Room Escape,intringulisbcn.com,es,https://www.linkedin.com/in/anna-herms-33048235
Oliver,Gunning,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Your Golf Travel Limited,yourgolftravel.com,gb,https://www.linkedin.com/in/oliver-gunning-04853923
Paul,Henderson,,Founder and CMO,Founder; C-Level,Founder/Owner; Marketing and Advertising; Management,Costa Rica Travel Group,booktci.co,mx,https://www.linkedin.com/in/paulhenderson63
Robert,Stover,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Hyatus Stays,hyatus.com,us,https://www.linkedin.com/in/robert-stover-7bb2481b3
Olga,Troshina,,CMO,C-Level,Management; Marketing and Advertising,Azimut Hotels Company Llc,azimuthotels.com,ru,https://www.linkedin.com/in/troshinaolga
Maritza,Solorzano,,CMO,C-Level,Management; Marketing and Advertising,Nikki Beach Hospitality Group,nikkibeach.com,us,https://www.linkedin.com/in/maritza-solorzano-b761b6151
Atul,Mittal,,Founder & CMD,Founder; C-Level,Founder/Owner; Management; Marketing and Advertising,Myhotelline,myhotelline.com,in,https://www.linkedin.com/in/myhotelline
Susan,Galvin,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,White Stone Marketing,whitestonemarketing.com,us,https://www.linkedin.com/in/susan-galvin-10178a66
Anna,Abbott,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,The Doyle Collection Hotels,doylecollection.com,gb,https://www.linkedin.com/in/anna-abbott-9223b929
Philipp,Albrecht,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Grand Casino Luzern Ag,grandcasinoluzern.ch,ch,https://www.linkedin.com/in/philipp-albrecht-8a17553
Ulysses,M.,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,The Grand Rehabilitation &a; Nursing,thegrandhealthcare.com,us,https://www.linkedin.com/in/ulysses-m-27b9a1266
Katharine,Ames,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,The Indigo Road Resturant Group,theindigoroad.com,us,https://www.linkedin.com/in/katharine-ames-404
Scott,Jefferson,,Chief Marketing & Digital Officer,C-Level,Management; Marketing and Advertising,The Inn Collection Group,inncollectiongroup.com,gb,https://www.linkedin.com/in/scott-jefferson-71826a
Erin,McCluskey,,"Co-Founder, Marketing & Design",Founder,Design; Founder/Owner; Marketing and Advertising,The Laundry Rooms,thelaundry-rooms.co.uk,ca,https://www.linkedin.com/in/mccluskeyerin
Gary,Kuiper,,"Co-Founder, Marketing and Design",Founder,Design; Founder/Owner; Marketing and Advertising,The Laundry Rooms,thelaundry-rooms.co.uk,ca,https://www.linkedin.com/in/garymkuiper
Paul,McGrath,,"Co-Founder, Marketing and Design",Founder,Design; Founder/Owner; Marketing and Advertising,The Laundry Rooms,thelaundry-rooms.co.uk,ca,https://www.linkedin.com/in/paul-mcgrath-a2823416
Shweta,Jain,,Chief Marketing & Sales Officer,C-Level,Sales; Management; Marketing and Advertising,"The Leela Palaces, Hotels And Resorts",theleela.com,in,https://www.linkedin.com/in/shweta-jain-393ab810
Melissa,Levis,,"Family Innkeeper, President of Marketing, Public Relations and Group Sales",C-Level,Management; Marketing and Advertising,Wilburton Inn,wilburton.com,us,https://www.linkedin.com/in/melissa-levis-679bb7b
Jennifer,Bell,,Chief Creative Officer,C-Level,Management; Marketing and Advertising,"The Zimmerman Agency, Inc.",zimmerman.com,us,https://www.linkedin.com/in/jennifer-bell-8750824
Heidi,"Nowak, M.B.A.",,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Timbers Resorts,timberscompany.com,us,https://www.linkedin.com/in/hnowak
Fernando,Muñoz Oliver,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Stay App,stay-app.com,es,https://www.linkedin.com/in/fmunozoliv
Chiyoko,Nakazawa,,"Executive Officer, Chief Marketing Officer",C-Level,Management; Marketing and Advertising,"Toyoko Inn Co.,ltd.",toyoko-inn.com,jp,https://www.linkedin.com/in/chiyoko-nakazawa-16614879
Gisela,Ponce Vidales,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Ehogroup,eho-group.com,es,https://www.linkedin.com/in/giselaponcevidales
Sam,Woollard,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Travala.com,travala.com,au,https://www.linkedin.com/in/sam-woollard
Álvaro,Redondo Rey,,CMO,C-Level,Management; Marketing and Advertising,Turiscool,turiscool.com,es,https://www.linkedin.com/in/alvaroredondorey
Ryan,Williams,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Uptown Network, Llc",uptownnetwork.com,us,https://www.linkedin.com/in/ryan-williams-42b709
Barış,Baran,,Entertainment chief,C-Level,Management; Marketing and Advertising,Water Planet Hotel &a; Aquapark,waterplanet.com.tr,tr,https://www.linkedin.com/in/barış-baran-69758a182
Kate,(Vuturo) Wik,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Las Vegas Convention And Visitors Authority - Lvcva,vegasmeansbusiness.com,us,https://www.linkedin.com/in/katevuturowik
Mark,Borgman,,Founder & CMO,Founder; C-Level,Founder/Owner; Marketing and Advertising; Management,Vipio Bv,vipio.com,nl,https://www.linkedin.com/in/mark-borgman-6893836
Nicolás,Basilio Stathakis,,Chief Creative Officer (CCO) | Head of Project Managment,C-Level,Management; Marketing and Advertising,Vmaison,vmaison.it,it,https://www.linkedin.com/in/nicolás-basilio-stathakis
Kyle,Tibbitts,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,"Wander.com, Inc.",wander.com,us,https://www.linkedin.com/in/kyletibbitts
Jodi,Alcock,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Reba Management,eliteresortgroup.com,us,https://www.linkedin.com/in/jodidemingalcock
Jéssica,Ruiz Cepriá,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Wellington Hotel & Spa Madrid,hotel-wellington.com,es,https://www.linkedin.com/in/jéssica-ruiz-cepriá-126953137
Jasmine,Ezz,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Trivago Egypt,trivago.com,de,https://www.linkedin.com/in/jasmine-ezz-a8463187
Miriam,Soriano,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Yuvod,yuvod.com,es,https://www.linkedin.com/in/miriamsorianonavasquillo
Antoni,Homar,,Chief Commercial & Marketing Officer,C-Level,Management; Marketing and Advertising,Zafiro Hotels,zafirohotels.com,es,https://www.linkedin.com/in/antoni-homar
Huntley,Fulton,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Ponte Vedra Inn & Club,gatehospitality.com,us,https://www.linkedin.com/in/huntley-fulton-65a78b143
Tim,Bendix Düysen,,CMO,C-Level,Management; Marketing and Advertising,Living Hotels,derag.de/en,de,https://www.linkedin.com/in/tim-bendix-düysen-7032021
👩‍💻,Mariya Sharan,,CMO,C-Level,Management; Marketing and Advertising,,nordikrooms.com,es,https://www.linkedin.com/in/mariyasharan
Julian,R.,,Co-Founder / Digital Marketing,Founder,Founder/Owner; Marketing and Advertising,,surfsouthsrilanka.com,gb,https://www.linkedin.com/in/julianrunnette
Gabriela,N.,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Hotel Alpin,hotelalpin.ro,ro,https://www.linkedin.com/in/gabriela-nicoara
Rose,Pilato,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,The Maker,shop.themaker.com,us,https://www.linkedin.com/in/rose-pilato-3a624523
Fernando,Parada Villar,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,,dotfranchiseplatform.com,ar,https://www.linkedin.com/in/fernando-parada-villar
Susan,Schramm,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,,motel-one.com,de,https://www.linkedin.com/in/susan-schramm
John,W.,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Margaritaville Enterprises Llc,margaritaville.com,us,https://www.linkedin.com/in/johnhaskellwalker
Tamara,Baldanza - Dekker,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Margaritaville Enterprises Llc,margaritaville.com,us,https://www.linkedin.com/in/tamara-baldanza-dekker-7897649
